mz,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,Sample46_erin_mass_listhotw_0043_5ppm_8m_000001.csv,Sample47_erin_mass_listhotw_0044_5ppm_8m_000001.csv,Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv
127.0036582,5175107,6494350,9081607,9253753,10680868,12172536,11852714,8655427,16884032,2641345,2613336,4364236,8376716,5460769,3252110,4632220,3466185,2701224,6938482,6002915,6188230,2565696,4020739,NA,5529354,2672265,3095071,4175059,3684035,4993079,2714778,3072853,NA,18209072,2525231,NA,5377482,NA,5443208,NA,2180810,2102553,NA,2315908,2626923,3029865,2101222,2634674,2506235,2869369,3047960,NA,3256582,NA,3086769,NA,NA,2102962,2422973,NA,2281202,2475459,2247894,2462863,2421088,2406741
127.0400479,3982173,6256296,8392483,7184787,7473471,12730643,9650117,7742557,13808987,2114522,2640369,5417830,5004710,4627899,3539815,4219063,2146275,3171650,6816909,4285694,4588128,3424025,2916509,NA,3233956,2570787,3873082,3141357,NA,4404434,2134581,3049071,3993171,15103819,NA,3851238,7092707,3435311,6203810,2460722,2333156,2890739,2188242,2601630,3737605,3262596,3007296,2432076,2296436,2191249,2194338,2964984,2266015,2399400,2797771,NA,2537452,NA,2113880,2777861,2337803,NA,2127215,2204458,2472444,2159535
129.0193321,8022338,12512926,11005755,9748322,13931592,13192974,15540684,9039933,18582388,2281790,2960412,5760187,9935761,3806781,2752078,5772481,3158954,4389391,5541312,6329827,7020241,3670430,4313726,4042117,5165821,3905284,4010037,5278025,2551489,5749231,3133865,4512086,2105549,17200982,2643295,3135017,11020686,2985478,8894839,3794978,3914186,2943378,2680388,2964843,3691322,4042742,3407646,2965519,2389029,2111120,2280588,2209113,2272978,2997828,NA,3113187,NA,2755847,2168629,3090285,3216193,2203326,NA,2224208,2773655,NA
129.0556215,2120477,NA,2661338,2299519,2244965,3247915,2296169,2574682,3807122,NA,NA,NA,2271280,NA,2251241,2106975,2866501,NA,2265886,NA,2328367,NA,2155865,2273696,NA,2845346,NA,2301542,NA,2213196,NA,2265201,NA,2535027,2314364,2955716,NA,NA,NA,NA,NA,2470321,NA,NA,2129238,NA,NA,NA,2684226,NA,NA,NA,NA,NA,NA,NA,2116196,NA,2315731,NA,NA,2208732,NA,2363564,NA,NA
129.0558082,2469471,3075516,2504025,2361727,2896485,2676012,3635690,2947034,5118354,NA,NA,2212952,2115374,NA,2363435,2517983,2557126,2380714,2681630,2420031,2329774,2338872,2302875,2488865,NA,2672289,2329682,2644198,2239326,2265485,2175175,2616947,2526315,2589299,2149691,2125765,NA,2421669,2189204,2136384,NA,2671151,2451939,NA,2228343,2496531,NA,2136621,2233922,2225132,NA,NA,2179052,NA,2199593,2200834,2191460,NA,2228626,2104555,2119837,2239899,2155094,2149935,2341173,2790607
131.0501834,NA,2320596,NA,NA,NA,NA,NA,NA,2526930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2175625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2318199,NA
131.0502048,NA,2316628,2216665,2278509,NA,NA,NA,NA,2113106,NA,NA,NA,2534458,NA,NA,NA,2243756,NA,NA,2220677,NA,NA,NA,NA,NA,NA,NA,2289121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2203017,NA,NA,NA,NA,2157426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2433071,NA,NA,NA,2162678,NA
133.0659832,NA,NA,NA,NA,NA,NA,NA,NA,2214837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2621686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.0608209,4922532,4525145,6242721,6380130,5647967,5845217,5275614,4964237,8096222,NA,NA,2681808,NA,NA,NA,2924512,NA,NA,NA,NA,2350707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6809981,NA,NA,4421602,NA,5874325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.0608352,3492516,3678296,6130081,4570722,5103455,5204194,8747998,5455757,7843294,2148631,NA,2763152,3489296,2782012,2132489,3150816,NA,2189693,4331314,2496069,3159923,2600292,2624851,2468913,2268201,NA,NA,NA,NA,2134621,NA,NA,2593686,8525693,2482511,NA,5119970,NA,5093013,3259707,2373557,NA,NA,2431190,2814392,2822302,NA,2300752,2278252,NA,NA,NA,2296003,NA,NA,3152568,NA,NA,NA,NA,NA,NA,2303304,NA,2633474,NA
138.0196807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229414,NA,NA,NA,NA,NA,NA,NA,NA,NA,2273269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.0401483,8671495,9012436,12290637,9195178,12515061,13377125,17589362,14007276,20202124,2545270,2420857,6842652,7182970,3802226,4936986,6147192,3636408,3582015,9182892,7073704,8008681,NA,3727540,NA,5434491,2966571,4137096,4891349,3678342,5018888,2547150,3615014,2321299,20419098,2748492,2458395,9702907,2800240,10574566,3291308,3525531,3486439,2249310,2259350,4115930,5946644,2373813,2573319,4207834,2600797,3251592,2193678,3296355,2386755,2495116,2660886,NA,2532304,2945359,2223437,NA,2273245,3542701,2670944,2909997,2712109
139.0401704,8630535,10986708,9956941,10854058,11214580,11988324,13458546,12053484,19522188,NA,2886009,NA,NA,4293746,2778778,5115513,2193785,3665855,NA,NA,NA,NA,2311348,NA,2245756,NA,NA,NA,NA,3711624,NA,NA,2903187,16459290,NA,NA,10677755,NA,10498790,2534060,NA,2269864,NA,2163094,NA,2606612,2162613,NA,NA,NA,3546120,NA,NA,2125124,NA,2165271,NA,NA,2384976,NA,NA,2121438,NA,2146145,NA,NA
141.0193019,9984460,11745715,21856094,19998548,25737198,31198796,30267756,26223790,38845344,4992822,4836076,10099145,15032389,10036488,7517578,8347509,5337427,6624738,10654089,11253867,13534401,3939122,6908792,2581598,7611951,7084006,6151788,6547084,3648844,12322838,3827112,6318574,5332083,41867036,4064935,4700592,14141045,3557917,13015961,4333439,4441699,4932446,3396403,5765047,7096411,8938477,3545198,3069342,3693733,2996244,3858106,3166413,4424931,2494624,3342884,5238742,NA,3774299,2874889,3399062,3319651,2644415,2492403,2127270,3825468,2826309
141.0556361,3777014,3440094,4578954,4654461,5247002,4470902,7273878,6414552,8019914,2260832,NA,2879218,4079728,2801202,2350899,2618784,2428540,2151179,4501940,2422677,3765995,NA,NA,2455303,2465881,NA,3422871,2864821,2114678,2680385,NA,NA,NA,7863625,2406862,2495193,3671709,NA,4277186,2394537,3124365,2772871,NA,2568417,2411907,2662167,NA,NA,NA,2121723,NA,2146293,NA,2322119,NA,2213760,2230704,2440965,2194481,2228672,2242188,NA,2119454,NA,2165095,NA
141.0556543,3352566,3171294,5255562,4587389,4297754,4916854,6288790,3678424,4058058,NA,NA,2294260,2454895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2171286,2470837,2495350,NA,NA,NA,NA,6589257,2150222,NA,4966046,NA,6115779,NA,NA,NA,NA,NA,NA,2115608,NA,NA,NA,2128187,NA,NA,NA,NA,NA,NA,NA,NA,NA,2171713,2237068,NA,NA,NA,NA,NA
141.0557557,NA,NA,NA,NA,NA,NA,2675095,2415575,6335434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2526536,NA,NA,2343070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2556941,NA,NA,NA,NA,NA
141.0708904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2428071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2183129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2630980,NA,NA,NA,NA,NA,NA,NA
142.9985317,3291882,4248300,3090635,3496534,5260610,6616971,4817598,6517192,6406413,NA,NA,NA,NA,3526135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7745661,NA,NA,5967686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142.9986106,5278954,4081899,6420683,4909142,7624002,10697611,8952510,7707081,13479181,NA,2151093,4411341,4967273,2144247,NA,NA,NA,2121179,3814848,3621255,4328179,NA,NA,NA,4317242,2536951,NA,3567002,NA,2430909,NA,NA,NA,11802749,2142744,NA,4646725,2129569,3086500,NA,2254083,NA,NA,2224431,NA,2435871,2648448,NA,2690499,NA,NA,NA,NA,NA,NA,2230126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143.0349229,6523669,7783192,10125560,10621057,9509231,9752504,10505962,10255860,19104058,2654584,NA,5029880,5619605,NA,3509371,NA,NA,NA,2248171,2586802,4754463,2134987,NA,NA,2323300,2141475,3843541,2529989,NA,NA,2720261,2397817,NA,12923049,2213506,NA,10200944,NA,8531151,NA,2756527,2451348,NA,NA,NA,NA,NA,2114870,2500588,NA,NA,2260689,2278374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143.0349562,8881941,8246040,10957048,9447553,12708207,12343224,15339243,9884148,19113274,2918520,3112095,3732472,7022997,4456738,3668091,5159928,3183599,4174598,5972204,5208498,4741151,3093067,4017600,2499105,4071269,2929699,3551957,3165382,3169302,5308842,3282950,3914553,2622678,17567914,3142274,3882439,12316527,2752333,8429775,3171799,3480495,2914197,2945677,3040730,3558236,5125451,2520363,2734008,2469612,2603081,2692590,2264849,2572773,NA,NA,3656473,2778431,2696679,2629446,3892580,2194022,2307872,NA,2304493,3691473,2505438
145.014172,9945219,10572961,14418615,14569939,19526420,20891978,21438608,17276768,27485946,2932447,4679927,8306507,8910600,6405472,6052753,6930849,3896751,5859664,8405621,6372638,9635234,4455561,5045295,2238471,7924159,5952643,4376547,6303013,3800325,7104353,3553928,3715753,2967133,27908700,3903618,3985666,11839632,3952799,8844843,4013394,3345696,4214768,3824395,2425121,5549698,8166094,3096333,2438134,3912663,3947812,4212549,2528634,4024075,3252858,2868608,3347073,NA,2333847,2336679,3939542,2777997,2445604,2138410,2968156,3249803,2421787
147.0241569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2306273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357473,NA,NA,NA,2264497,NA,2450355,NA,NA,NA,2758708,NA,2143683
147.0451294,3675257,2484660,3692290,2192301,4708676,5223269,5655230,3144020,5246536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2595088,2166446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5548188,NA,NA,2556470,NA,2544143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149.0607587,4323994,4086002,7606137,5516722,5023136,7777708,9000217,5099380,11158464,NA,NA,2951463,5442854,2450452,3008751,2868787,NA,4110617,2441412,NA,4101606,2193720,NA,2725637,NA,2567798,3455418,2332698,NA,3100682,NA,2478276,NA,7406346,NA,2849964,5817353,2208887,5464607,2970498,2886460,NA,NA,3452899,2261759,3260687,2609927,NA,NA,2233989,NA,2134273,2413197,2373029,2122555,NA,2222988,NA,2335905,NA,NA,2136407,2481465,NA,NA,NA
149.0607919,4664474,5642482,7855993,6497714,5781408,7097772,7802137,6419316,5714881,NA,NA,2203944,NA,2526359,NA,NA,NA,2238874,3119300,NA,2245093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10303242,NA,NA,4191241,2699382,5278239,2258052,NA,NA,NA,NA,2611709,2801423,NA,NA,NA,NA,NA,NA,NA,2414244,NA,NA,2235017,NA,2124704,NA,NA,NA,NA,NA,NA,NA
149.0608588,NA,NA,NA,2256307,3056033,NA,NA,NA,6395841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2143464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2304541,2373504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149.0972399,NA,2157857,2901930,NA,2474448,3068892,3165001,NA,3942897,NA,NA,2224470,NA,NA,NA,3003236,NA,NA,NA,2381403,NA,2301287,NA,NA,NA,2213029,NA,NA,NA,2225211,2132981,NA,NA,2195259,NA,NA,2132279,NA,NA,2507441,NA,NA,NA,2208785,2305836,NA,NA,2276824,NA,NA,NA,NA,2201276,NA,NA,NA,2161402,NA,2409424,NA,NA,NA,NA,NA,NA,NA
149.097271,NA,NA,NA,NA,2929104,2135772,2930505,NA,3804658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2892603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
